"Part";"Value";"Device";"Package";"Description";"";
"BT1";"CR2032";"BATTERY-20MM_PTH";"BATTCOM_20MM_PTH";"Battery - Single Cell";"";
"C1";"100n 1206";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C2";"100n 1206";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"D1";"LOW BAT 1206";"LED1206";"LED-1206";"LED (Generic)";"";
"D2";"STTH4R02S  DO214AB";"DIODE-DO214AA";"DO214AA";"DIODE";"";
"DIP";"DIP-4X_DIP";"DIP-4X_DIP";"DIP-4X";"DIP Prepinac - 4x";"";
"F1";"3,5A 1206";"PTCFUSE-1206";"R1206";"PTC fuses, resettable thermistors";"";
"IO1";"ATTINY1634 SO20W";"ATTINY1634-SU";"SOIC20";"ATtiny1634";"";
"IO2";"MCP1825 SOT223";"MCP1825_SOT223";"SOT-223-3";"Microchip MCP1824 LDO Voltage Regulator";"";
"IO3A";"DS3231MZ+ SO8";"DS3231MZ+";"SOIC127P600X175-8N";"Real Time Clock 5+/-ppm RTC";"";
"IO3B";"DS3231SN SO16W";"DS3231/SO";"SO16W";"";"";
"J1";"ICSP 2x5";"AVR_SPI_PROG_5X2LOCK";"2X5-SHROUDED_LOCK";"AVR 10-pin ICSP Header";"";
"J2";"SERIAL";"S1G5_JUMP";"S1G5_JUM";"Radove konektory - koliky - 5x";"";
"J3";"SERVO";"S1G3_JUMP";"S1G3_JUM";"Radove konektory - koliky - 3x";"";
"J4";"I2C";"S1G4_JUMP";"S1G4_JUM";"Radove konektory - koliky - 4x";"";
"K1";"ARK500/2";"ARK500/2";"ARK500/2";"Svorkovnice - roztec 5mm - dvojita";"";
"R1";"10k 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R2";"10k 1203";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R3";"1k 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R4";"47k 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R5";"2k7 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R6";"3k3 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R7";"100R 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R8";"10k 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R9";"4k7 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R10";"4k7 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R11";"1k 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R12";"47k 1206";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"SW1";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"SMT 6mm switch, EVQQ2 series";"";
"T1";"DMP2100U SOT23";"MOSFET-P-SOT23";"SOT-23";"P-Channel MOSFET with integrated body diode";"";
"T2";"IRF7416PBF SO8";"IRF7416PBF";"SOIC127P600X175-8N";"MOSFET P-Channel 30V 10A HEXFET SOIC8 Infineon IRF7416PBF P-channel MOSFET Transistor, 10 A, 30 V, 8-Pin SOIC";"";
"T3";"FDV303N SOT23";"MOSFET-N-SOT23";"SOT-23";"N-Channel MOSFET";"";
"T4";"FDV303N SOT23";"MOSFET-N-SOT23";"SOT-23";"N-Channel MOSFET";"";
